a,b,c,d,e,f
-1.857985798579857928e+01,nan,nan,nan,nan,nan
-1.857585758575857682e+01,nan,nan,nan,nan,nan
-1.857185718571857080e+01,nan,nan,nan,nan,nan
-1.856785678567856834e+01,nan,nan,nan,nan,nan
-1.856385638563856233e+01,nan,nan,nan,nan,nan
-1.855985598559855987e+01,nan,nan,nan,nan,nan
-1.855585558555855741e+01,nan,nan,nan,nan,nan
-1.855185518551855139e+01,nan,nan,nan,nan,nan
-1.854785478547854893e+01,nan,nan,nan,nan,nan
-1.854385438543854292e+01,nan,nan,nan,nan,nan
-1.853985398539854046e+01,nan,nan,nan,nan,nan
-1.853585358535853445e+01,nan,nan,nan,nan,nan
-1.853185318531853198e+01,nan,nan,nan,nan,nan
-1.852785278527852597e+01,nan,nan,nan,nan,nan
-1.852385238523852351e+01,nan,nan,nan,nan,nan
-1.851985198519852105e+01,nan,nan,nan,nan,nan
-1.851585158515851504e+01,nan,nan,nan,nan,nan
-1.851185118511851257e+01,nan,nan,nan,nan,nan
-1.850785078507850656e+01,nan,nan,nan,nan,nan
-1.850385038503850410e+01,nan,nan,nan,nan,nan
-1.849984998499849809e+01,nan,nan,nan,nan,nan
-1.849584958495849563e+01,nan,nan,nan,nan,nan
-1.849184918491849317e+01,nan,nan,nan,nan,nan
-1.848784878487848715e+01,nan,nan,nan,nan,nan
-1.848384838483848469e+01,nan,nan,nan,nan,nan
-1.847984798479847868e+01,nan,nan,nan,nan,nan
-1.847584758475847622e+01,nan,nan,nan,nan,nan
-1.847184718471847020e+01,nan,nan,nan,nan,nan
-1.846784678467846774e+01,nan,nan,nan,nan,nan
-1.846384638463846528e+01,nan,nan,nan,nan,nan
-1.845984598459845927e+01,nan,nan,nan,nan,nan
-1.845584558455845681e+01,nan,nan,nan,nan,nan
-1.845184518451845079e+01,nan,nan,nan,nan,nan
-1.844784478447844833e+01,nan,nan,nan,nan,nan
-1.844384438443844232e+01,nan,nan,nan,nan,nan
-1.843984398439843986e+01,nan,nan,nan,nan,nan
-1.843584358435843740e+01,nan,nan,nan,nan,nan
-1.843184318431843138e+01,nan,nan,nan,nan,nan
-1.842784278427842892e+01,nan,nan,nan,nan,nan
-1.842384238423842291e+01,nan,nan,nan,nan,nan
-1.841984198419842045e+01,nan,nan,nan,nan,nan
-1.841584158415841443e+01,nan,nan,nan,nan,nan
-1.841184118411841197e+01,nan,nan,nan,nan,nan
-1.840784078407840951e+01,nan,nan,nan,nan,nan
-1.840384038403840350e+01,nan,nan,nan,nan,nan
-1.839983998399840104e+01,nan,nan,nan,nan,nan
-1.839583958395839502e+01,nan,nan,nan,nan,nan
-1.839183918391839256e+01,nan,nan,nan,nan,nan
-1.838783878387838655e+01,nan,nan,nan,nan,nan
-1.838383838383838409e+01,nan,nan,nan,nan,nan
-1.837983798379838163e+01,nan,nan,nan,nan,nan
-1.837583758375837562e+01,nan,nan,nan,nan,nan
-1.837183718371837315e+01,nan,nan,nan,nan,nan
-1.836783678367836714e+01,nan,nan,nan,nan,nan
-1.836383638363836468e+01,nan,nan,nan,nan,nan
-1.835983598359835867e+01,nan,nan,nan,nan,nan
-1.835583558355835621e+01,nan,nan,nan,nan,nan
-1.835183518351835019e+01,nan,nan,nan,nan,nan
-1.834783478347834773e+01,nan,nan,nan,nan,nan
-1.834383438343834527e+01,nan,nan,nan,nan,nan
-1.833983398339833926e+01,nan,nan,nan,nan,nan
-1.833583358335833680e+01,nan,nan,nan,nan,nan
-1.833183318331833078e+01,nan,nan,nan,nan,nan
-1.832783278327832832e+01,nan,nan,nan,6.907645897188530171e+00,6.907587570286112033e+00
-1.832383238323832231e+01,nan,nan,nan,6.907183444462719812e+00,6.907125729215889187e+00
-1.831983198319831985e+01,nan,nan,nan,6.906720884176489328e+00,6.906663774585086735e+00
-1.831583158315831739e+01,nan,nan,nan,6.906258216215699797e+00,6.906201706333929380e+00
-1.831183118311831137e+01,nan,nan,nan,6.905795440466606649e+00,6.905739524402594753e+00
-1.830783078307830891e+01,nan,nan,nan,6.905332556815861444e+00,6.905277228731207195e+00
-1.830383038303830290e+01,nan,nan,nan,6.904869565150500321e+00,6.904814819259842196e+00
-1.829982998299830044e+01,nan,nan,nan,6.904406465357949330e+00,6.904352295928522842e+00
-1.829582958295829442e+01,nan,nan,nan,6.903943257326014660e+00,6.903889658677222485e+00
-1.829182918291829196e+01,nan,nan,nan,6.903479940942882642e+00,6.903426907445862959e+00
-1.828782878287828595e+01,nan,nan,nan,6.903016516097115307e+00,6.902964042174315473e+00
-1.828382838283828349e+01,nan,nan,nan,6.902552982677650384e+00,6.902501062802398835e+00
-1.827982798279828103e+01,nan,nan,nan,6.902089340573791532e+00,6.902037969269882112e+00
-1.827582758275827501e+01,nan,nan,nan,6.901625589675211891e+00,6.901574761516480194e+00
-1.827182718271827255e+01,nan,nan,nan,6.901161729871946982e+00,6.901111439481862675e+00
-1.826782678267826654e+01,nan,nan,nan,6.900697761054394697e+00,6.900648003105642303e+00
-1.826382638263826408e+01,nan,nan,nan,6.900233683113309979e+00,6.900184452327381202e+00
-1.825982598259825807e+01,nan,nan,nan,6.899769495939798603e+00,6.899720787086591756e+00
-1.825582558255825560e+01,nan,nan,nan,6.899305199425323387e+00,6.899257007322733948e+00
-1.825182518251825314e+01,nan,nan,nan,6.898840793461693544e+00,6.898793112975216246e+00
-1.824782478247824713e+01,nan,nan,nan,6.898376277941061119e+00,6.898329103983394717e+00
-1.824382438243824467e+01,nan,nan,nan,6.897911652755924550e+00,6.897864980286574799e+00
-1.823982398239823866e+01,nan,nan,nan,6.897446917799118893e+00,6.897400741824009529e+00
-1.823582358235823619e+01,nan,nan,nan,6.896982072963817600e+00,6.896936388534900431e+00
-1.823182318231823018e+01,nan,nan,nan,6.896517118143526304e+00,6.896471920358393959e+00
-1.822782278227822772e+01,nan,nan,nan,6.896052053232082812e+00,6.896007337233591272e+00
-1.822382238223822526e+01,nan,nan,nan,6.895586878123650898e+00,6.895542639099535798e+00
-1.821982198219821925e+01,nan,nan,nan,6.895121592712721181e+00,6.895077825895220336e+00
-1.821582158215821678e+01,nan,nan,nan,6.894656196894104916e+00,6.894612897559585285e+00
-1.821182118211821077e+01,nan,nan,nan,6.894190690562933987e+00,6.894147854031520417e+00
-1.820782078207820831e+01,nan,nan,nan,6.893725073614654697e+00,6.893682695249861325e+00
-1.820382038203820230e+01,nan,nan,nan,6.893259345945028649e+00,6.893217421153390312e+00
-1.819981998199819984e+01,nan,nan,nan,6.892793507450128310e+00,6.892752031680840830e+00
-1.819581958195819738e+01,nan,nan,nan,6.892327558026332568e+00,6.892286526770891264e+00
-1.819181918191819136e+01,nan,nan,nan,6.891861497570326733e+00,6.891820906362166710e+00
-1.818781878187818890e+01,nan,nan,nan,6.891395325979099873e+00,6.891355170393241636e+00
-1.818381838183818289e+01,nan,nan,nan,6.890929043149935929e+00,6.890889318802637220e+00
-1.817981798179818043e+01,nan,nan,nan,6.890462648980423488e+00,6.890423351528819573e+00
-1.817581758175817441e+01,nan,nan,nan,6.889996143368438908e+00,6.889957268510205068e+00
-1.817181718171817195e+01,nan,nan,nan,6.889529526212154309e+00,6.889491069685156788e+00
-1.816781678167816949e+01,nan,nan,nan,6.889062797410028693e+00,6.889024754991982746e+00
-1.816381638163816348e+01,nan,nan,nan,6.888595956860808833e+00,6.888558324368940333e+00
-1.815981598159816102e+01,nan,nan,nan,6.888129004463523941e+00,6.888091777754232758e+00
-1.815581558155815500e+01,nan,nan,nan,6.887661940117484782e+00,6.887625115086008165e+00
-1.815181518151815254e+01,nan,nan,nan,6.887194763722282786e+00,6.887158336302364958e+00
